From,To,Departure Time,Arrival Time
Rwanda,Switzerland,02:51 AM,8:13 AM
United Kingdom,United States Minor Outlying Islands,09:58 AM,3:39 PM
United Arab Emirates,Bangladesh,06:22 PM,11:55 PM
Mexico,Australia,09:06 AM,12:02 PM
Hungary,Angola,08:55 PM,12:20 AM
Qatar,Afghanistan,07:58 AM,1:40 PM
Jamaica,Uganda,02:09 AM,9:26 AM
Holy See (Vatican City State),Montserrat,03:45 AM,4:29 AM
Rwanda,Angola,09:31 PM,2:42 AM
Samoa,Liechtenstein,09:54 AM,3:22 PM
Kazakhstan,Bouvet Island,08:44 PM,3:24 AM
South Georgia and the South Sandwich Islands,Liechtenstein,04:52 AM,10:22 AM
Qatar,Finland,08:55 PM,2:38 AM
Congo,Liechtenstein,10:32 AM,3:32 PM
French Guiana,Montserrat,03:39 AM,3:43 AM
Kazakhstan,Slovenia,01:37 PM,9:07 PM
Malawi,Afghanistan,02:36 AM,9:19 AM
Holy See (Vatican City State),Yemen,11:40 AM,3:53 PM
Ethiopia,Guyana,01:01 PM,1:29 PM
Samoa,Montenegro,08:13 PM,8:45 PM
French Guiana,Kiribati,08:35 AM,1:10 PM
Mexico,Canada,09:09 PM,9:21 PM
Hungary,New Caledonia,05:25 PM,6:03 PM
United Kingdom,Finland,07:56 PM,8:26 PM
Rwanda,Kenya,07:00 AM,12:03 PM
Norway,New Caledonia,03:37 AM,8:08 AM
Bangladesh,Bangladesh,12:42 PM,3:29 PM
Qatar,Qatar,03:14 PM,4:14 PM
French Guiana,Guyana,07:51 PM,9:47 PM
Saint Kitts and Nevis,Indonesia,02:57 AM,7:06 AM
Samoa,Peru,09:14 AM,10:00 AM
Samoa,Bangladesh,04:24 AM,9:09 AM
Rwanda,Qatar,11:38 PM,3:35 AM
Qatar,Yemen,02:22 AM,7:19 AM
Hungary,Err:502,07:02 PM,11:15 PM
Yemen,New Caledonia,04:32 AM,6:47 AM
Bangladesh,Liechtenstein,03:58 PM,10:21 PM
Hungary,Montserrat,01:32 PM,9:21 PM
Cuba,Peru,08:07 PM,10:00 PM
United Arab Emirates,Montenegro,07:45 AM,2:38 PM
Kazakhstan,Peru,05:09 PM,6:47 PM
Liechtenstein,Err:502,08:16 PM,10:30 PM
Mexico,Afghanistan,02:23 AM,3:04 AM
Norway,Montserrat,07:56 PM,11:42 PM
French Southern Territories,Peru,08:04 PM,2:43 AM
Rwanda,Sweden,05:46 AM,7:07 AM
Chile,Afghanistan,02:09 PM,4:29 PM
Chile,Guyana,08:59 AM,4:42 PM
South Georgia and the South Sandwich Islands,United States Minor Outlying Islands,11:41 AM,4:27 PM
French Southern Territories,Liechtenstein,06:38 AM,7:17 AM
Ethiopia,New Caledonia,03:54 AM,6:48 AM
Norway,Peru,06:07 PM,1:33 AM
French Guiana,Yemen,02:04 PM,4:15 PM
